simNo:int,simPar_EleakVal:decimal,simParPer_gBarP:int,simParPer_gBarK2:int,simParPer_gBarLeak:int,simParPer_gBarSynS:int,simParPer_gBarCaS:int,simParPer_gBarSynG:int,simParPer_gBarh:int,meanPeriod_L:decimal,meanPeriod_R:decimal,spkFreq_L:decimal,spkFreq_R:decimal,meanDutyCycle_L:decimal,meanDutyCycle_R:decimal,meanPhase_L:decimal,meanPhase_R:decimal
6434017,-0.065,75,50,50,25,50,100,175,31.42805,32.68955,28.83199485,28.13202752,0.5144672,0.5682703,0.4449893,0.5371491
6442747,-0.065,125,100,125,100,50,100,175,14.68224,14.75916,15.34298063,16.28910913,0.7803749,0.2205603,0.5736989,0.4235102
6444339,-0.055,75,100,50,125,50,100,175,26.592,28.56715,19.25370032,19.25776742,0.5613944,0.5041665,0.4184002,0.5505227
6444661,-0.07,100,100,75,125,50,100,175,9.553463,9.556912,16.79142655,18.60336076,0.2795163,0.704807,0.4324081,0.5674996
6445071,-0.07,150,150,100,125,50,100,175,11.68743,11.69229,20.08384898,21.17375956,0.2234206,0.7663502,0.5593117,0.440456
6446037,-0.065,175,150,175,125,50,100,175,8.9519,8.950328,18.1451996,16.40752864,0.7059699,0.2734194,0.5519382,0.4481785
6447221,-0.07,100,100,75,150,50,100,175,11.88502,11.87343,16.55506275,16.61273767,0.2419242,0.7470172,0.4081824,0.592252
6447631,-0.07,150,150,100,150,50,100,175,12.49587,12.5096,20.34900127,20.6410808,0.2344509,0.7651955,0.4377127,0.5619294
6447867,-0.065,125,100,125,150,50,100,175,31.20125,30.00995,12.77599761,12.77014438,0.509204,0.4123566,0.5735781,0.4483218
6455551,-0.07,150,100,125,25,75,100,175,11.66,11.66834,29.12842138,25.51750912,0.7299021,0.2722844,0.4429412,0.5567421
6457786,-0.07,125,100,100,50,75,100,175,10.54686,10.55641,22.06970145,25.11853019,0.2927429,0.6952098,0.4425059,0.5571453
6458432,-0.065,150,100,150,50,75,100,175,29.43325,31.4731,19.3074318,19.18206072,0.5583447,0.5102866,0.4185987,0.5523906
6461077,-0.065,175,150,150,75,75,100,175,10.80854,11.09632,23.58427624,24.63045364,0.3027136,0.7210299,0.42945,0.5632641
6476031,-0.07,150,100,125,25,100,100,175,12.41287,12.38138,27.59184251,31.36391774,0.2897397,0.7208565,0.4443079,0.5568839
6477213,-0.06,50,50,25,50,100,100,175,25.8229,19.75865,24.99783528,24.92353008,0.574645,0.6220567,0.6490347,0.5033846
6481191,-0.07,150,125,125,75,100,100,175,11.88045,11.90862,21.42159682,23.24803865,0.310215,0.6778725,0.4321316,0.5669308
6482461,-0.07,100,125,25,100,100,100,175,31.23775,32.4868,25.07215065,25.50757028,0.5007947,0.5334597,0.4440988,0.5381438
6496511,-0.07,150,100,125,25,125,100,175,12.70646,12.74495,30.49520937,32.94690501,0.3184009,0.6820279,0.4427666,0.5560072
6496837,-0.065,175,100,150,25,125,100,175,30.6933,32.8572,38.05302054,37.49239919,0.5131771,0.5560151,0.4145149,0.5562615
6498839,-0.055,175,150,100,50,125,100,175,27.43015,32.9049,39.81503648,39.42482379,0.8497438,0.1123541,0.4072767,0.5114354
6501670,-0.05,125,125,125,75,125,100,175,29.1852,27.90745,29.89737725,29.73795136,0.4556453,0.484222,0.565306,0.4594435
6522794,-0.055,150,125,175,75,150,100,175,26.8309,24.8296,27.80905517,27.72818779,0.4387143,0.4801326,0.6031954,0.4417966
6540976,-0.07,75,100,0,75,175,100,175,32.0088,33.0195,32.10901402,34.63551413,0.4974601,0.5032511,0.4479505,0.5379052
6540977,-0.065,75,100,0,75,175,100,175,32.0088,33.0195,32.10901402,34.63551413,0.4974601,0.5032511,0.4479505,0.5379052
6540978,-0.06,75,100,0,75,175,100,175,32.0088,33.0195,32.10901402,34.63551413,0.4974601,0.5032511,0.4479505,0.5379052
6540979,-0.055,75,100,0,75,175,100,175,32.0088,33.0195,32.10901402,34.63551413,0.4974601,0.5032511,0.4479505,0.5379052
6540980,-0.05,75,100,0,75,175,100,175,32.0088,33.0195,32.10901402,34.63551413,0.4974601,0.5032511,0.4479505,0.5379052
6597301,-0.07,100,100,0,25,50,125,0,28.3215,29.6595,50.32214596,49.51233698,0.6075985,0.5941199,0.4297645,0.549932
6597302,-0.065,100,100,0,25,50,125,0,28.3215,29.6595,50.32214596,49.51233698,0.6075985,0.5941199,0.4297645,0.549932
6597303,-0.06,100,100,0,25,50,125,0,28.3215,29.6595,50.32214596,49.51233698,0.6075985,0.5941199,0.4297645,0.549932
6597304,-0.055,100,100,0,25,50,125,0,28.3215,29.6595,50.32214596,49.51233698,0.6075985,0.5941199,0.4297645,0.549932
6597305,-0.05,100,100,0,25,50,125,0,28.3215,29.6595,50.32214596,49.51233698,0.6075985,0.5941199,0.4297645,0.549932
6665144,-0.055,100,100,100,75,125,125,0,26.7223,28.19885,24.91758299,24.69974374,0.5712121,0.4709483,0.4468586,0.52845
6735317,-0.065,175,150,175,150,0,125,25,13.983,15.1929,8.9516376,8.515449958,0.5313667,0.4590763,0.4218813,0.5416148
6766622,-0.065,100,125,25,75,50,125,25,25.1186,26.50335,24.84845607,24.61615796,0.5146903,0.5537904,0.4270158,0.5494434
6787056,-0.07,75,100,25,75,75,125,25,27.8655,10.73025,19.42324464,20.79743751,0.446222,0.00623471,0.3843014,0.8520159
6825830,-0.05,125,125,50,50,125,125,25,29.0783,28.0514,37.87232962,37.62024301,0.4693087,0.4846033,0.5512363,0.4682306
6867479,-0.055,175,150,100,50,175,125,25,23.98245,17.8411,43.70882211,43.14026626,0.5497437,0.6475722,0.6638072,0.5061785
6908258,-0.06,75,50,100,50,25,125,50,17.12755,23.19425,10.30954143,10.2045629,0.471702,0.3126896,0.4036906,0.4533194
6908667,-0.065,125,100,125,50,25,125,50,25.34335,27.5483,11.41862253,10.90445358,0.4402417,0.5840796,0.4148586,0.5490474
6921231,-0.07,150,150,100,175,25,125,50,26.9021,29.6572,16.09242069,15.61478454,0.5065961,0.6192223,0.3637717,0.5989737
6970107,-0.065,125,100,125,50,100,125,50,27.7027,29.6199,15.11431507,15.78784627,0.5570107,0.4978275,0.4255821,0.5449649
